Ticker,symbol,price,prev_close,open,high,low,ts_ms,source,error,category
AAPL,AAPL,259.37,259.04,259.085,260.21,256.22,1767992400000,finnhub,,CORE
MSFT,MSFT,479.28,478.11,474.07,479.82,472.2001,1767992400000,finnhub,,CORE
NVDA,NVDA,184.86,185.04,185.09,186.34,183.6701,1767992400000,finnhub,,CORE
GOOGL,GOOGL,328.57,325.44,327.09999999999997,330.83,325.8,1767992400000,finnhub,,CORE
META,META,653.06,646.06,645.4449999999999,654.95,642.85,1767992400000,finnhub,,CORE
AMZN,AMZN,247.38,246.29,244.578,247.86,242.24,1767992400000,finnhub,,CORE
TSLA,TSLA,445.01,435.8,435.955,449.05,430.39,1767992400000,finnhub,,CORE
AMD,AMD,203.17,204.68,205.73,207.3,203.07,1767992400000,finnhub,,CORE
NFLX,NFLX,89.46,90.53,90.04,90.05,88.32,1767992400000,finnhub,,CORE
ORCL,ORCL,198.52,189.65,191.665,200.18,188.78,1767992400000,finnhub,,CORE
IBM,IBM,304.22,302.72,302.62,307.0,302.0,1767992400000,finnhub,,CORE
AVGO,AVGO,344.97,332.48,337.93,347.39,333.5,1767992400000,finnhub,,CORE
QCOM,QCOM,177.78,181.87,178.13,179.44,174.8,1767992400000,finnhub,,CORE
INTC,INTC,45.55,41.11,41.835,45.7265,41.57,1767992400000,finnhub,,CORE
NOW,NOW,141.8,146.19,147.35999999999999,147.35999999999999,141.43,1767992400000,finnhub,,CORE
COIN,COIN,240.78,245.59,246.07999999999998,246.9,237.15,1767992400000,finnhub,,CORE
PLTR,PLTR,177.49,176.86,177.03,178.72,174.75,1767992400000,finnhub,,CORE
MU,MU,345.09,327.02,332.755,345.8,326.19,1767992400000,finnhub,,CORE
CRWD,CRWD,470.61,463.87,472.2,475.98,466.25,1767992400000,finnhub,,CORE
BBAI,BBAI,6.2,6.17,6.25,6.51,6.15,1767992400000,finnhub,,CORE
RGTI,RGTI,24.72,25.25,25.450000000000003,26.7,24.71,1767992400000,finnhub,,CORE
INSM,INSM,175.97,170.27,185.03,186.19,169.0,1767992400000,finnhub,,CORE
OPEN,OPEN,7.29,6.43,7.1049999999999995,7.92,7.08,1767992400000,finnhub,,CORE
HOOD,HOOD,115.27,115.39,116.985,118.23,114.882,1767992400000,finnhub,,CORE
SLV,SLV,72.38,69.71,71.32000000000001,72.99,70.8713,1767992400000,finnhub,,CORE
AG,AG,18.91,17.9,18.25,18.98,17.95,1767992400000,finnhub,,CORE
CHPT,CHPT,6.9,7.03,7.145,7.1743,6.76,1767992400000,finnhub,,CORE
ALGS,ALGS,9.0,10.33,10.42,10.45,9.0,1767992400000,finnhub,,CORE
JPM,JPM,329.19,329.79,329.34999999999997,331.9,328.17,1767992400000,finnhub,,CORE
BAC,BAC,55.85,56.18,56.18,56.61,55.79,1767992400000,finnhub,,CORE
GS,GS,938.98,934.83,938.78,946.14,932.7,1767992400000,finnhub,,CORE
MS,MS,186.32,184.68,185.70499999999998,186.92,185.04,1767992400000,finnhub,,CORE
WFC,WFC,95.95,95.6,95.82000000000001,96.565,95.255,1767992400000,finnhub,,CORE
XOM,XOM,124.61,122.91,123.24000000000001,124.86,123.095,1767992400000,finnhub,,CORE
CVX,CVX,162.11,159.25,160.57,162.7,159.935,1767992400000,finnhub,,CORE
COP,COP,97.51,98.72,99.15,100.3,97.28,1767992400000,finnhub,,CORE
SLB,SLB,45.2,44.43,44.79,45.24,44.29,1767992400000,finnhub,,CORE
CAT,CAT,617.62,608.13,609.98,619.15,608.2,1767992400000,finnhub,,CORE
BA,BA,234.53,227.38,228.35,235.135,228.3,1767992400000,finnhub,,CORE
GE,GE,321.59,314.44,317.115,322.3,315.19,1767992400000,finnhub,,CORE
HON,HON,207.38,205.24,204.66,208.74,203.51,1767992400000,finnhub,,CORE
UNH,UNH,343.98,346.85,347.26,349.055,342.48,1767992400000,finnhub,,CORE
JNJ,JNJ,204.39,205.75,205.92,206.7,204.01,1767992400000,finnhub,,CORE
PFE,PFE,25.48,25.29,25.35,25.55,25.23,1767992400000,finnhub,,CORE
MRK,MRK,110.53,110.99,110.88000000000001,112.4799,110.22,1767992400000,finnhub,,CORE
LLY,LLY,1063.56,1085.19,1086.835,1104.52,1063.03,1767992400000,finnhub,,CORE
PG,PG,141.87,141.53,141.70999999999998,142.33,140.83,1767992400000,finnhub,,CORE
KO,KO,70.51,69.37,69.44000000000001,70.66,69.12,1767992400000,finnhub,,CORE
PEP,PEP,139.91,139.37,139.45,140.79,138.7,1767992400000,finnhub,,CORE
MCD,MCD,307.32,308.88,309.05,309.52,304.6,1767992400000,finnhub,,CORE
NKE,NKE,65.92,65.26,65.12,66.54,64.4,1767992400000,finnhub,,CORE
COST,COST,924.88,915.31,915.98,929.8499,911.33,1767992400000,finnhub,,CORE
SPY,SPY,694.07,689.51,690.64,695.31,689.18,1767992400000,finnhub,,CORE
QQQ,QQQ,626.65,620.47,621.42,627.89,619.06,1767992400000,finnhub,,CORE
DIA,DIA,495.02,492.53,492.87,495.66,491.91,1767992400000,finnhub,,CORE
IWM,IWM,260.23,258.27,259.59,261.56,258.09,1767992400000,finnhub,,CORE
VIX,VIX,,,,,,,,no_price,CORE
LRCX,LRCX,218.36,200.96,204.67,219.59,202.72,1767992400000,finnhub,,ADDON_RANDOM
RTX,RTX,188.5,187.17,186.04,189.09,184.37,1767992400000,finnhub,,ADDON_RANDOM
SCHW,SCHW,,,,,,,,http 429,ADDON_RANDOM
